song,artist,Album,cover art,Year released
Burning blue,Mariah the scientist,hearts sold seperatly,cmu://1012247/42216603/Mariah_the_Scientist_-_Burning_Blue.png,2025
all night,beyonce,lemondade,cmu://1012247/42216987/artworks-amtGuY0fAOVa-0-t500x500.jpg,2016
Anonitated ,Miguel,War & Leisure,cmu://1012247/42217281/sddefault.jpg,2017
Love overdose,Rod wave ,jupiters diary,cmu://1012247/42270771/ab67616d0000b273da1a3bbfed507bff5f74810a.jpeg,2023
Triggerd ,Jhene akio,chilombo,cmu://1012247/42270857/ab67616d0000b273b87ac71d440973d20f4c8473.jpeg,2020
cece interlude,drake,thank me later,cmu://1012247/42218858/artworks-dUAvxLqhrTEx-0-t500x500.jpg,2010
all for me,Mariah the scientist,hearts song speratlyy,cmu://1012247/42598711/fab9c8036af5b965e22017e6991620eb.300x300x1.png,2024
romeo and juliet,trippie red,a love letter to you,cmu://1012247/42598930/Lifes_A_Trip.jpg,2018
simple things,Miguel,War & Leisure,cmu://1012247/42599109/media_11e5c7cac9f149f092d27a330dd680fdfbdb0f40d.jpeg,2017
